1	Written by	 Michael Curtis and Gregory S. Malins Transcribed by
2	[Scene	 Central Perk, Chandler and Rachel are sitting on the couch.]
3	Chandler	 (reading the comics) Eh..., I don’t, I don’t know.
4	Rachel	 What?
5	Chandler	 Well, as old as he is in dog years, do you think Snoopy should still be allowed to fly this thing?
6	Gunther	 Rachel?
7	Rachel	 Yeah.
8	Gunther	 Do you remember when you first came here, how you spent two weeks getting trained by another waitress?
9	Rachel	 Oh, sure! Do you need me to train somebody new?
10	Gunther	 (laughs) Good one. Actually, ah, Terry wants you to take the training again, whenever.
11	Rachel	 (to Chandler) Eh, do you believe that?
12	Chandler	 (thinks about it) Yeah?
13		Opening Credits
14	[Scene	 The hallway of Ross’s building, there is a Brown Bird girl selling cookies, as Ross and Chandler come up the stairs.]
15	Sarah	 So that’s two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you. (Does the Brown Bird salute, she blows on a bird call, then holds her hand, palm facing out, next to her face, and then waves it like a bird flapping it’s wings.)
16	Ross	 Just admit it Chandler, you have no backhand.
17	Chandler	 Excuse me little one, I have a very solid backhand.
18	Ross	 Shielding your face and shrieking like a girl... is not a backhand.
19	Chandler	 I was shrieking... like a Marine.
20		(they both start up the stairs.)
21	Ross	 All right here. Watch me execute the three ‘P’s of championship play. Power. (swings the racquet) Precision. (swings the racquet.) and penache. (does a backswing and hits Sarah who’s started up the stairs, knocking her down, they both watch in horror.)
22	[Scene	 Central Perk, the gang’s all there discussing the incident.]
23	Monica	 You broke a little girl’s leg?!!
24	Ross	 I know. I feel horrible. Okay.
25	Chandler	 (reading the paper) Says here that a muppet got whacked on Seasame Street last night. (to Ross) Where exactly were around ten-ish?
26	Ross	 Well, I’m gonna go see her. I want to bring her something, what do you think she’ll like?
27	Monica	 Maybe a Hello Kitty doll, the ability to walk...
28		(Rachel starts to laugh, and Ross notices her.)
29	Rachel	 I’m gonna get back to retraining. (gets up)
30	Ross	 All right, see you guys. (starts to leave)
31	Chandler	 Look out kids, he’s coming! (Ross continues to leave with his head down in shame.)
32	Joey	 And I gotta go sell some Christmas trees.
33	Phoebe	 Have fun. Oh wait, no, don’t! I forgot I am totally against that now.
34	Joey	 What? Me having a job?
35	Phoebe	 No, no, I am against innocent trees being cut down in their prime, and their, their corpses grotesquely dressed in like tinsel and twinkly lights. (to Joey) Hey, how do you sleep at night?
36	Joey	 Well, I’m pretty tired from lugging the trees around all day. Hey, Phoebe listen, you got this all wrong. Those trees were born to be Christmas trees, their fulfilling their life purpose, by, by making people happy.
37	Phoebe	 Really?
38		(Phoebe turns and looks at Monica, while Joey frantically motions to Chandler to help him out.)
39	Chandler	 Yes. Yes, and ah, ah, the trees are happy too, because for most of them, it’s the only chance to see New York.
40		[cut to Gunther retraining Rachel.]
41	Gunther	 ...and after you’ve delivered the drinks, you take the empty tray....
42	Rachel	 Gunther, Gunther, please, I’ve worked here for two and a half years, I know the empty trays go over there. (points to the counter.)
43	Gunther	 What if you put them here. (sets the empty tray on another stack of empty trays on the back counter.)
44	Rachel	 Huh. Well, y'know that’s actually a really good idea, because that way they’ll be closer to the mugs. Y'know what, you should have the other waitresses do that too.
