1	Written by	 Shana Goldberg-Meehan Transcribed by
2	[Scene	 Central Perk, it’s the same scene from the end of last week’s show. Phoebe and Rachel are sitting on the couch as Ross enters.]
3	Ross	 Hey!
4	Rachel	 Hey, so did everything go okay with the annulment?
5	Ross	 Oh, yeah, no problems. It’s all taken care of.
6	Rachel	 Ross, thank you. Hey, do you guys wanna go see a movie?
7	Ross	 Oh yeah, why not?
8	Rachel	 Okay, umm, I’m gonna get my sweater. (Walks away.)
9	Ross	 Okay. (Sits down next to Phoebe.) You uh, you wanna hear something weird?
10	Phoebe	 Always.
11	Ross	 I didn’t get the annulment.
12	Phoebe	 What?!
13	Ross	 We’re still married! Don’t tell Rachel. See you later. (He gets up leaving Phoebe in shock.)
14		[Cut to outside Central Perk.]
15	Ross	 (To Rachel) Hey, do you have any gum?
16	Rachel	 Oh? Yeah! Sure!
17	Phoebe	 (running out) Wait! Wait! Hi! Listen, Ross can I just talk to you for just a second?
18	Rachel	 Oh but Phoebe, we’re gonna be late for the movie.
19		(A cab pulls up.)
20	Phoebe	 Oh, there’s a cab! Taxi!! (The cab stops and she opens the door.) Good timing, my God, huh? Here you go. (Pushes Rachel in and closes the door.)
21	Rachel	 Yeah, we’re, we’re actually just gonna walk ‘cause it’s right up there at the Angelica.
22	Phoebe	 Oh, the Angelica!! Go! Go! (She bangs on the cab’s roof and it pulls away.) (To Ross) You didn’t get the annulment?!!
23	Ross	 I know.
24	Phoebe	 Ross?!
25	Ross	 Well, I tried! But when I got to my lawyer’s office all I could hear was, "Three divorces. Three divorces!" Look, I just don’t want my tombstone to read, Ross Gellar, Three Divorces.
26	Phoebe	 Don’t be worried about that! Your tombstone can say whatever you want it to say! It could say, Ross Geller, Good at Marriage! Y’know? Mine’s gonna say Phoebe Buffay, Buried Alive.
27	Ross	 Look, all I know is I-I can’t have another failed marriage!
28	Phoebe	 So okay what? You’re gonna be married to a girl who doesn’t even know about it?!—Op, woman! Sorry.
29	Ross	 Well, okay so, I don’t have it all worked out quite yet. Just don’t say anything to Rachel, please?
30	Phoebe	 Rachel is one of my closest friends. (Pause) Although, being the only one who knows anything about this does makes me feel special. Okay!
31		(Rachel’s cab backs up.)
32	Rachel	 (to the driver) Okay, stop-stop! Phoebe?!
33	Phoebe	 Hey Rach!
34	Rachel	 What was that?!
35	Phoebe	 Sorry, mix up. Hey, how was the movie?
36	Rachel	 I haven’t seen it yet!
37	Phoebe	 Well then you’d better hurry! The Angelica! Go! Go! (Bangs on the roof again and off they go.)
38	Rachel	 Noooooooo!!
39		Opening Credits
40	{Transciber’s note	 In case you’re wondering, and I know you are. Their names are all back to normal. Just in a slightly smaller font than usual to allow Courteney Cox Arquette to fit on one line and not be smaller than the rest of their names. Now, on with the show…}
41	[Scene	 Monica and Rachel's, Chandler and Monica are cuddling on the couch.]
42	Chandler	 Y’know when we move in together, can I get a gumball machine?
43	Monica	 Of course! Joey wouldn’t let you have one?
44	Chandler	 No. When it comes to sweets, he’s surprisingly strict.
45	Monica	 Hey, have you figured out a way to tell him you’re moving out?
46	Chandler	 No, no, I keep trying, y’know? I can get out, "Joey, I have too…" but then I lose my nerve and I always finish with, "…go to the bathroom." He may think I’m sick.
47	Monica	 Y’know, I really have to tell Rachel, but I… We just have to get it over with! Y’know, the next time we see them we’re just gonna tell them. Okay? That’s it.
48	Chandler	 Oh, so that’s this is gonna work now? You’re just gonna order me around all the time?
49	Monica	 Pretty much.
50	Chandler	 All right.
51	Joey	 (entering) Hey Monica!
52	Monica	 Hi!
53	Joey	 (To Chandler) Hey man, you feeling any better? (Chandler answers him with some guttural sounds that only he can make and that no human can transcribe.)
54	Monica	 Joey, we have something to tell you.
55	Joey	 Oh my God! You’re pregnant!
56	Chandler	 No-o-o! (To Monica) No? (She nods no.) No-o-o! Look Joey, here’s the thing, Monica and I have decided to live together, here. So, I’m gonna be moving out man.
57	Joey	 Wow! (Tearing up) Well, uh… Hey! I’m really happy for you guys! Congratulations! (Kisses Monica on the cheek) See you later. (Starts for the door on the verge of tears as Monica stops him.)
58	Monica	 Wait! Joey! Joey! Are you okay?!
59	Joey	 Yeah, I gotta go! I got an acting job. (Turns towards the door, pauses, and turns back.) Like you’d believe that. This sucks!
60	Chandler	 Look, I-I’m just gonna be right across the hall and I promise you, the minute Monica and I break up I’m moving right back in with you!
